match,item?,attributes
LINEAR_INJECTIVE_0,1,"linear,vec,vec,VECTOR_SUB_EQ,LINEAR_SUB,VECTOR_SUB_RZERO,"
LINEAR_BOUNDED,1,"linear,basis,BASIS_EXPANSION,LINEAR_VSUM,VSUM_NORM_LE,NORM_MUL,LINEAR_CMUL,NORM_POS_LE,COMPONENT_LE_NORM,"
LINEAR_BOUNDED_POS,1,"linear,LINEAR_BOUNDED,NORM_POS_LE,"
SYMMETRIC_LINEAR_IMAGE,1,"linear,LINEAR_NEG,"
bilinear,0,""
BILINEAR_LADD,1,"bilinear,bilinear,linear,"
BILINEAR_RADD,1,"bilinear,bilinear,linear,"
BILINEAR_LMUL,1,"bilinear,bilinear,linear,"
BILINEAR_RMUL,1,"bilinear,bilinear,linear,"
BILINEAR_LNEG,1,"bilinear,VECTOR_NEG_MINUS1,BILINEAR_LMUL,"
BILINEAR_RNEG,1,"bilinear,VECTOR_NEG_MINUS1,BILINEAR_RMUL,"
BILINEAR_LZERO,1,"bilinear,vec,vec,vec,BILINEAR_LADD,VECTOR_ADD_LID,"
BILINEAR_RZERO,1,"bilinear,vec,vec,vec,BILINEAR_RADD,VECTOR_ADD_LID,"
BILINEAR_LSUB,1,"bilinear,VECTOR_SUB,BILINEAR_LNEG,BILINEAR_LADD,"
BILINEAR_RSUB,1,"bilinear,VECTOR_SUB,BILINEAR_RNEG,BILINEAR_RADD,"
BILINEAR_VSUM,1,"bilinear,vsum,vsum,vsum,bilinear,LINEAR_VSUM,LINEAR_VSUM,VSUM_VSUM_PRODUCT,"
BILINEAR_BOUNDED,1,"bilinear,basis,basis,BASIS_EXPANSION,BILINEAR_VSUM,VSUM_NORM_LE,BILINEAR_LMUL,NORM_MUL,BILINEAR_RMUL,NORM_MUL,NORM_POS_LE,COMPONENT_LE_NORM,"
BILINEAR_BOUNDED_POS,1,"bilinear,BILINEAR_BOUNDED,NORM_POS_LE,"
BILINEAR_VSUM_PARTIAL_SUC,1,"bilinear,vsum,vsum,vec,VSUM_TRIV_NUMSEG,VSUM_CLAUSES_NUMSEG,BILINEAR_RSUB,BILINEAR_LSUB,VSUM_TRIV_NUMSEG,BILINEAR_RSUB,BILINEAR_LSUB,"
BILINEAR_VSUM_PARTIAL_PRE,1,"bilinear,vsum,vsum,vec,BILINEAR_VSUM_PARTIAL_SUC,"
adjoint,0,""
ADJOINT_WORKS,1,"linear,dot,dot,adjoint,adjoint,basis,dot,BASIS_EXPANSION,LINEAR_VSUM,dot,VSUM_COMPONENT,VECTOR_MUL_COMPONENT,LINEAR_CMUL,"
ADJOINT_LINEAR,1,"linear,linear,adjoint,linear,VECTOR_EQ_LDOT,DOT_RMUL,DOT_RADD,ADJOINT_WORKS,"
ADJOINT_CLAUSES,1,"linear,dot,adjoint,dot,adjoint,dot,dot,ADJOINT_WORKS,DOT_SYM,"
ADJOINT_ADJOINT,1,"linear,adjoint,adjoint,VECTOR_EQ_LDOT,ADJOINT_CLAUSES,ADJOINT_LINEAR,"
ADJOINT_UNIQUE,1,"linear,dot,dot,adjoint,VECTOR_EQ_RDOT,ADJOINT_CLAUSES,"
matrix_cmul,0,""
matrix_neg,0,""
matrix_add,0,""
matrix_sub,0,""
matrix_mul,0,""
matrix_vector_mul,0,""
vector_matrix_mul,0,""
mat,0,""
transp,0,""
row,0,""
column,0,""
rows,0,""
columns,0,""
MATRIX_CMUL_COMPONENT,1,"matrix_cmul,"
MATRIX_ADD_COMPONENT,1,"matrix_add,"
MATRIX_SUB_COMPONENT,1,"matrix_sub,"
MATRIX_NEG_COMPONENT,1,"matrix_neg,"
TRANSP_COMPONENT,1,"transp,transp,"
MAT_COMPONENT,1,"mat,mat,"
MATRIX_CMUL_ASSOC,1,"matrix_cmul,"
MATRIX_CMUL_LID,1,"matrix_cmul,"
MATRIX_ADD_SYM,1,"matrix_add,"
MATRIX_ADD_ASSOC,1,"matrix_add,"
MATRIX_ADD_LID,1,"mat,matrix_add,mat,"
MATRIX_ADD_RID,1,"mat,matrix_add,mat,"
MATRIX_ADD_LNEG,1,"mat,matrix_neg,matrix_add,mat,"
MATRIX_ADD_RNEG,1,"mat,matrix_neg,matrix_add,mat,"
MATRIX_SUB,1,"matrix_neg,matrix_add,matrix_sub,"
MATRIX_SUB_REFL,1,"mat,MATRIX_SUB,MATRIX_ADD_RNEG,"
MATRIX_ADD_LDISTRIB,1,"matrix_mul,matrix_add,"
MATRIX_MUL_LID,1,"mat,matrix_mul,mat,"
MATRIX_MUL_RID,1,"mat,matrix_mul,mat,"
MATRIX_MUL_ASSOC,1,"matrix_mul,"
MATRIX_MUL_LZERO,1,"mat,mat,matrix_mul,mat,"
MATRIX_MUL_RZERO,1,"mat,mat,matrix_mul,mat,"
MATRIX_ADD_RDISTRIB,1,"matrix_mul,matrix_add,"
MATRIX_SUB_LDISTRIB,1,"matrix_mul,matrix_sub,"
MATRIX_SUB_RDISTRIB,1,"matrix_mul,matrix_sub,"
MATRIX_MUL_LMUL,1,"matrix_mul,matrix_cmul,"
MATRIX_MUL_RMUL,1,"matrix_mul,matrix_cmul,"
MATRIX_CMUL_ADD_LDISTRIB,1,"matrix_cmul,matrix_add,"
MATRIX_CMUL_SUB_LDISTRIB,1,"matrix_cmul,matrix_sub,"
MATRIX_CMUL_ADD_RDISTRIB,1,"matrix_cmul,matrix_add,"
MATRIX_CMUL_SUB_RDISTRIB,1,"matrix_cmul,matrix_sub,"
MATRIX_CMUL_RZERO,1,"mat,mat,matrix_cmul,mat,"
MATRIX_CMUL_LZERO,1,"mat,matrix_cmul,mat,"
MATRIX_NEG_MINUS1,1,"matrix_cmul,matrix_neg,"
MATRIX_ADD_AC,1,"MATRIX_ADD_ASSOC,MATRIX_ADD_SYM,"
MATRIX_NEG_ADD,1,"matrix_neg,matrix_add,"
MATRIX_NEG_SUB,1,"matrix_neg,matrix_sub,"
MATRIX_NEG_0,1,"mat,mat,mat,matrix_neg,"
MATRIX_SUB_RZERO,1,"mat,mat,matrix_sub,"
